date,variant,daily_return,growth_of_1,drawdown
2023-12-26,base,0.0009065684137575015,1.2157135395782253,-0.00407520657228122
2023-12-27,base,0.004323888198251025,1.2209701490044615,0.0
2023-12-28,base,0.0014851650612453637,1.2227834912105864,0.0
2023-12-29,base,-0.0004511530105332134,1.2222318287572964,-0.0004511530105332229
2021-01-05,momentum,0.0026726475970907703,1.0026726475970908,0.0
2021-01-06,momentum,0.009848209692162596,1.012547178083223,0.0
2021-01-07,momentum,0.0068344601487100925,1.0194673914205215,0.0
2021-01-08,momentum,-0.0030666130631388823,1.0163410794005472,-0.0030666130631388233
2021-01-11,momentum,0.0027244900717063596,1.0191100905808412,-0.0003504779482768061
2021-01-12,momentum,0.00047900191874823857,1.0195982462696451,0.0
2021-01-13,momentum,0.0010601600999231484,1.0206791836482918,0.0
2021-01-14,momentum,0.006256366376099802,1.0270649265736538,0.0
2021-01-15,momentum,-0.0036350897792824196,1.0233314533564064,-0.0036350897792825076
2021-01-19,momentum,0.016676288614326688,1.0403968240206964,0.0
2021-01-20,momentum,0.011807154431188483,1.0526809499916268,0.0
2021-01-21,momentum,-0.011289979959560222,1.0407962031624105,-0.011289979959560159
2021-01-22,momentum,-0.0019630560469624052,1.038753061882137,-0.013230873143092903
2021-01-25,momentum,0.003802251238873978,1.0427026619985624,-0.009478929008018722
2021-01-26,momentum,-0.007075553112756053,1.0353249639327795,-0.0164874134551265
2021-01-27,momentum,-0.028507686843456573,1.0058102440797707,-0.044525082278945805
2021-01-28,momentum,0.002682714519509537,1.008508545825435,-0.041961815844148265
2021-01-29,momentum,-0.008580409151718591,0.9998551298692481,-0.05018217544717507
2021-02-01,momentum,-0.0011323133260232037,0.9987229805816045,-0.05125766682721056
2021-02-02,momentum,0.00915133299913773,1.007862627150798,-0.04257540980596752
2021-02-03,momentum,-0.012019969692419393,0.9957481489183232,-0.05408362436287695
2021-02-04,momentum,-0.0021776362217528363,0.9935797716814954,-0.05614348612521347
2021-02-05,momentum,0.016485867914318775,1.0099597965597755,-0.04058319230740426
2021-02-08,momentum,0.0037898853163759808,1.0137874283628876,-0.03694711263564565
2021-02-09,momentum,-0.0012838994082234145,1.0124858272835482,-0.0381835756678206
2021-02-10,momentum,-0.007391767785350004,1.0050017671623102,-0.0452930993286198
2021-02-11,momentum,-0.0012357544848042852,1.003759831721303,-0.04647288266279814
2021-02-12,momentum,0.003997142695670139,1.007772003000875,-0.0426614987106102
2021-02-16,momentum,-0.013205574450333478,0.9944637947862853,-0.05530370356355785
2021-02-17,momentum,0.00620542482580098,1.0006348651068124,-0.04944146171280894
2021-02-18,momentum,-0.0003475225282779048,1.0002871219486076,-0.049771802219310546
2021-02-19,momentum,-0.008921374915593314,0.9913631855104642,-0.05824914422708061
2021-02-22,momentum,-0.002022821047996941,0.9893578351926043,-0.060154137680107245
2021-02-23,momentum,-0.0065968646451913015,0.9828311754681793,-0.06635417362117457
2021-02-24,momentum,-0.0019776604939066834,0.980887469080276,-0.06820060808730488
2021-02-25,momentum,-0.011839561738879989,0.9692741913312063,-0.07923270451610609
2021-02-26,momentum,-0.015648290883201247,0.9541067068396759,-0.09364113899157667
2021-03-01,momentum,0.011051652559378405,0.9646511626682408,-0.08362437576559756
