date,fund_id,asset_family,method,daily_return,growth_of_1,drawdown
2021-01-12,combined_equal_weight,combined,equal_weight,0.0010467325556499363,1.047309826392155,-0.022168775196571233
2021-01-12,combined_max_sharpe,combined,max_sharpe,-0.018754833981724305,1.1597259792958114,-0.06510513644606031
2021-01-12,combined_min_variance,combined,min_variance,0.0012189157703493129,1.0125562325067061,-0.0007858216997717049
2021-01-12,combined_risk_parity,combined,risk_parity,-0.0015076387297851667,1.0343998769559357,-0.0188893354955596
2021-01-12,crypto_equal_weight,crypto,equal_weight,-0.014528807045432449,1.321751597265547,-0.1656811342020802
2021-01-12,crypto_max_sharpe,crypto,max_sharpe,-0.03285204391045919,1.2991866307873638,-0.16467458467061957
2021-01-12,crypto_min_variance,crypto,min_variance,-0.04230566727695462,1.152860604807317,-0.16109345058828406
2021-01-12,crypto_risk_parity,crypto,risk_parity,-0.01651599021170668,1.3076078438903047,-0.16595816061126578
2021-01-12,equity_equal_weight,equity,equal_weight,0.0038937760120920342,1.0433539535380862,0.0
2021-01-12,equity_max_sharpe,equity,max_sharpe,-0.015166669079512978,0.9939945254065432,-0.02185727217384581
2021-01-12,equity_min_variance,equity,min_variance,0.0012189178056647126,1.0125562223100504,-0.0007858215967903037
2021-01-12,equity_risk_parity,equity,risk_parity,0.0002006541055973181,1.0307273419473226,-0.0006650014455203968
2021-01-13,combined_equal_weight,combined,equal_weight,0.013580453744663743,1.0615327690458054,-0.008889383478040469
2021-01-13,combined_max_sharpe,combined,max_sharpe,0.06454934738232708,1.2345855344016863,-0.0047582831325637676
2021-01-13,combined_min_variance,combined,min_variance,-0.0015252101480205326,1.0110118714654455,-0.0023098333045612485
2021-01-13,combined_risk_parity,combined,risk_parity,0.00992490550426325,1.044666197988345,-0.009151904861128157
2021-01-13,crypto_equal_weight,crypto,equal_weight,0.08269093348111876,1.4310484706735949,-0.09669052836834191
2021-01-13,crypto_max_sharpe,crypto,max_sharpe,0.09319734386793065,1.4202673739654719,-0.08682447469654542
2021-01-13,crypto_min_variance,crypto,min_variance,0.09557923298908474,1.2630501371581326,-0.08091140604599245
2021-01-13,crypto_risk_parity,crypto,risk_parity,0.08329430141625337,1.4165241257735608,-0.09648722824745426
2021-01-13,equity_equal_weight,equity,equal_weight,-0.0003032472472924366,1.043037559323724,-0.0003032472472925818
2021-01-13,equity_max_sharpe,equity,max_sharpe,-0.0011064849520772673,0.9928946854217338,-0.022939572383169238
2021-01-13,equity_min_variance,equity,min_variance,-0.001525203143697687,1.0110118683766125,-0.002309826202918197
2021-01-13,equity_risk_parity,equity,risk_parity,-2.1908430100365595e-05,1.030704760329399,-0.0006868953064830263
2021-01-14,combined_equal_weight,combined,equal_weight,0.006197704066061711,1.0681118350047782,-0.0027467731801054107
2021-01-14,combined_max_sharpe,combined,max_sharpe,0.025078194014770905,1.2655467099612414,0.0
2021-01-14,combined_min_variance,combined,min_variance,0.0037614296428186565,1.014814721488017,0.0
2021-01-14,combined_risk_parity,combined,risk_parity,0.004505517887127321,1.0493729602294588,-0.004687621045053825
2021-01-14,crypto_equal_weight,crypto,equal_weight,0.018814061140251234,1.4579723040955108,-0.07969560874049586
2021-01-14,crypto_max_sharpe,crypto,max_sharpe,0.05070506418817177,1.492282122326757,-0.04052185107096651
2021-01-14,crypto_min_variance,crypto,min_variance,0.04399528525305827,1.3186183882313192,-0.04047584118215364
2021-01-14,crypto_risk_parity,crypto,risk_parity,0.02049602353553876,1.4455572375940742,-0.07796880921295413
2021-01-14,equity_equal_weight,equity,equal_weight,0.004037382072942693,1.0472487004671436,0.0
2021-01-14,equity_max_sharpe,equity,max_sharpe,-0.013123776272170398,0.9798641577084319,-0.03576229483960358
2021-01-14,equity_min_variance,equity,min_variance,0.003761424854077767,1.0148147135460919,0.0
2021-01-14,equity_risk_parity,equity,risk_parity,0.0025142636308216944,1.0332962238224102,0.0
2021-01-15,combined_equal_weight,combined,equal_weight,-0.017586954570667255,1.0493270006861573,-0.020285420375638186
2021-01-15,combined_max_sharpe,combined,max_sharpe,-0.0492842274409322,1.203175218070388,-0.04928422744093219
2021-01-15,combined_min_variance,combined,min_variance,-0.005170604798465007,1.009567515619538,-0.005170604798465095
2021-01-15,combined_risk_parity,combined,risk_parity,-0.01273994348401616,1.0360040080224808,-0.017367844501881446
2021-01-15,crypto_equal_weight,crypto,equal_weight,-0.04077003241943804,1.3985307259908941,-0.11721644860789704
2021-01-15,crypto_max_sharpe,crypto,max_sharpe,-0.04752233836880358,1.4213653863678286,-0.08611849632184532
2021-01-15,crypto_min_variance,crypto,min_variance,-0.05751636996691576,1.2427762451686284,-0.09566418769291452
2021-01-15,crypto_risk_parity,crypto,risk_parity,-0.04115359700047688,1.386067357597005,-0.11591370926047406
2021-01-15,equity_equal_weight,equity,equal_weight,-0.01233142671094538,1.0343346298692002,-0.012331426710945337
2021-01-15,equity_max_sharpe,equity,max_sharpe,-0.007399680456209153,0.972613476050897,-0.042897345741618964
2021-01-15,equity_min_variance,equity,min_variance,-0.005170596615381808,1.0095675160229909,-0.005170596615381662
2021-01-15,equity_risk_parity,equity,risk_parity,-0.008468586815751983,1.0245456650445814,-0.00846858681575191
2021-01-16,crypto_equal_weight,crypto,equal_weight,0.032362555954059784,1.4437907548642461,-0.08864731653064661
2021-01-16,crypto_max_sharpe,crypto,max_sharpe,0.033909030034173455,1.46956250794371,-0.05512966096594707
2021-01-16,crypto_min_variance,crypto,min_variance,-0.015505569890309493,1.2235062912411498,-0.1096864298349518
2021-01-16,crypto_risk_parity,crypto,risk_parity,0.029798077269600983,1.4273694998195523,-0.08956963765602277
2021-01-17,crypto_equal_weight,crypto,equal_weight,0.008945379835786391,1.4567060115699035,-0.08049492061265007
2021-01-17,crypto_max_sharpe,crypto,max_sharpe,0.0065191282385310256,1.4791427743875325,-0.04896993005699968
2021-01-17,crypto_min_variance,crypto,min_variance,-0.010161889938108347,1.2110731549709741,-0.1187336983453734
2021-01-17,crypto_risk_parity,crypto,risk_parity,0.007550232958607381,1.438146472061201,-0.08269567632773633
2021-01-18,crypto_equal_weight,crypto,equal_weight,0.02060877484363257,1.4867269377757137,-0.061545047463979596
2021-01-18,crypto_max_sharpe,crypto,max_sharpe,0.015036734066589062,1.5013842509325146,-0.03466954380593712
2021-01-18,crypto_min_variance,crypto,min_variance,0.024826313225249613,1.2411396364549747,-0.09685510510563833
2021-01-18,crypto_risk_parity,crypto,risk_parity,0.021149774330556308,1.468562945399581,-0.06329489688962442
2021-01-19,combined_equal_weight,combined,equal_weight,0.007734560361664519,1.0574430837120887,-0.012707758822330772
2021-01-19,combined_max_sharpe,combined,max_sharpe,-0.010053667754429067,1.1910788941775456,-0.058842407947136466
2021-01-19,combined_min_variance,combined,min_variance,0.010018020236836248,1.019681383421467,0.0
2021-01-19,combined_risk_parity,combined,risk_parity,0.007383017717438132,1.0436528439690478,-0.010113053888114343
2021-01-19,crypto_equal_weight,crypto,equal_weight,0.009770575316032796,1.5012531152956263,-0.05237580266952235
2021-01-19,crypto_max_sharpe,crypto,max_sharpe,0.02676895271971589,1.5415747349598532,-0.008828658465176442
