date,sentiment,n_tickers,n_headlines,index_0_100,standardised_sentiment,news_available,model
2020-03-23,0.05319924761165686,47,244,52.65996238058285,-1.4942866278401552,True,vader_finance_enhanced
2020-03-24,0.26173141185203685,44,186,63.086570592601845,3.0666379502539862,True,vader_finance_enhanced
2020-03-25,0.17218825783972125,41,159,58.60941289198607,1.1081891257164564,True,vader_finance_enhanced
2020-03-26,0.20638870725892466,46,175,60.31943536294624,1.8562064443210913,True,vader_finance_enhanced
2020-03-27,0.2680969409223255,39,149,63.404847046116274,3.2058620267652027,True,vader_finance_enhanced
2020-03-30,0.09834911807296018,45,183,54.917455903648005,-0.5067883460530342,True,vader_finance_enhanced
2020-03-31,0.022339548726467335,43,137,51.11697743632336,-2.169236507302399,True,vader_finance_enhanced
2020-04-01,0.041484480519480525,44,163,52.074224025974026,-1.7505069061458332,True,vader_finance_enhanced
2020-04-02,0.037347266047444615,42,176,51.867363302372226,-1.8409942572894389,True,vader_finance_enhanced
2020-04-03,0.06424879216269841,40,190,53.21243960813492,-1.252615806923058,True,vader_finance_enhanced
2020-04-06,0.23151654215690265,44,312,61.57582710784513,2.405791493696833,True,vader_finance_enhanced
2020-04-07,0.2204669327386318,46,234,61.023346636931585,2.1641192540319776,True,vader_finance_enhanced
2020-04-08,0.19294435260318904,42,229,59.64721763015945,1.5621573809100604,True,vader_finance_enhanced
2020-04-09,0.14681349797365756,47,290,57.34067489868288,0.5532034410958372,True,vader_finance_enhanced
2020-04-13,0.04488509638982786,46,345,52.244254819491395,-1.676130118467912,True,vader_finance_enhanced
2020-04-14,0.24144170314780072,41,226,62.072085157390035,2.6228702876077175,True,vader_finance_enhanced
2020-04-15,0.04448076840751841,45,262,52.22403842037592,-1.684973403813575,True,vader_finance_enhanced
2020-04-16,0.1660109520813277,44,304,58.30054760406639,0.9730817874193175,True,vader_finance_enhanced
2020-04-17,0.18416908015560798,43,314,59.2084540077804,1.3702284478774136,True,vader_finance_enhanced
2020-04-20,0.07341195343458341,46,319,53.67059767172917,-1.0522031386413175,True,vader_finance_enhanced
