fund_id,asset_family,method,rebalance_date,effective_date,estimation_start,estimation_end,n_estimation_observations,turnover
combined_min_variance,combined,min_variance,2021-09-01,2021-09-02,2020-01-03,2021-09-01,420,0.02375945653641972
combined_risk_parity,combined,risk_parity,2021-09-01,2021-09-02,2020-01-03,2021-09-01,420,0.033440414165707776
crypto_equal_weight,crypto,equal_weight,2021-09-01,2021-09-02,2020-01-02,2021-09-01,609,0.07031996639701509
crypto_max_sharpe,crypto,max_sharpe,2021-09-01,2021-09-02,2020-01-02,2021-09-01,609,0.04885002500694908
crypto_min_variance,crypto,min_variance,2021-09-01,2021-09-02,2020-01-02,2021-09-01,609,0.011963718929671796
crypto_risk_parity,crypto,risk_parity,2021-09-01,2021-09-02,2020-01-02,2021-09-01,609,0.07214515649760847
equity_equal_weight,equity,equal_weight,2021-09-01,2021-09-02,2020-01-03,2021-09-01,420,0.02004128258351802
equity_max_sharpe,equity,max_sharpe,2021-09-01,2021-09-02,2020-01-03,2021-09-01,420,0.1807039709850254
equity_min_variance,equity,min_variance,2021-09-01,2021-09-02,2020-01-03,2021-09-01,420,0.02375945715523362
equity_risk_parity,equity,risk_parity,2021-09-01,2021-09-02,2020-01-03,2021-09-01,420,0.01927242651803483
crypto_equal_weight,crypto,equal_weight,2021-10-01,2021-10-02,2020-01-02,2021-10-01,639,0.03606221839986461
crypto_max_sharpe,crypto,max_sharpe,2021-10-01,2021-10-02,2020-01-02,2021-10-01,639,0.02331768881775917
crypto_min_variance,crypto,min_variance,2021-10-01,2021-10-02,2020-01-02,2021-10-01,639,0.012174585807957456
crypto_risk_parity,crypto,risk_parity,2021-10-01,2021-10-02,2020-01-02,2021-10-01,639,0.041096640868811506
combined_equal_weight,combined,equal_weight,2021-10-01,2021-10-04,2020-01-03,2021-10-01,441,0.03820083144967931
combined_max_sharpe,combined,max_sharpe,2021-10-01,2021-10-04,2020-01-03,2021-10-01,441,0.11402115808984621
combined_min_variance,combined,min_variance,2021-10-01,2021-10-04,2020-01-03,2021-10-01,441,0.029203409388226683
combined_risk_parity,combined,risk_parity,2021-10-01,2021-10-04,2020-01-03,2021-10-01,441,0.029648574770465324
equity_equal_weight,equity,equal_weight,2021-10-01,2021-10-04,2020-01-03,2021-10-01,441,0.032717650382348765
equity_max_sharpe,equity,max_sharpe,2021-10-01,2021-10-04,2020-01-03,2021-10-01,441,0.08746578594399505
equity_min_variance,equity,min_variance,2021-10-01,2021-10-04,2020-01-03,2021-10-01,441,0.029203408044588725
equity_risk_parity,equity,risk_parity,2021-10-01,2021-10-04,2020-01-03,2021-10-01,441,0.027058704077960634
combined_equal_weight,combined,equal_weight,2021-11-01,2021-11-02,2020-01-03,2021-11-01,462,0.03074792926837106
combined_max_sharpe,combined,max_sharpe,2021-11-01,2021-11-02,2020-01-03,2021-11-01,462,0.09755767701780343
combined_min_variance,combined,min_variance,2021-11-01,2021-11-02,2020-01-03,2021-11-01,462,0.03683175924761532
combined_risk_parity,combined,risk_parity,2021-11-01,2021-11-02,2020-01-03,2021-11-01,462,0.029553201966795895
crypto_equal_weight,crypto,equal_weight,2021-11-01,2021-11-02,2020-01-02,2021-11-01,670,0.04668345096002539
crypto_max_sharpe,crypto,max_sharpe,2021-11-01,2021-11-02,2020-01-02,2021-11-01,670,0.022581298826318236
crypto_min_variance,crypto,min_variance,2021-11-01,2021-11-02,2020-01-02,2021-11-01,670,0.015092932768374052
crypto_risk_parity,crypto,risk_parity,2021-11-01,2021-11-02,2020-01-02,2021-11-01,670,0.04975878490603823
equity_equal_weight,equity,equal_weight,2021-11-01,2021-11-02,2020-01-03,2021-11-01,462,0.028064809271187985
equity_max_sharpe,equity,max_sharpe,2021-11-01,2021-11-02,2020-01-03,2021-11-01,462,0.10208914705837005
equity_min_variance,equity,min_variance,2021-11-01,2021-11-02,2020-01-03,2021-11-01,462,0.03683175734451903
equity_risk_parity,equity,risk_parity,2021-11-01,2021-11-02,2020-01-03,2021-11-01,462,0.02791240837430886
combined_equal_weight,combined,equal_weight,2021-12-01,2021-12-02,2020-01-03,2021-12-01,483,0.03607224678300312
combined_max_sharpe,combined,max_sharpe,2021-12-01,2021-12-02,2020-01-03,2021-12-01,483,0.18602008783963772
combined_min_variance,combined,min_variance,2021-12-01,2021-12-02,2020-01-03,2021-12-01,483,0.022541059308996438
combined_risk_parity,combined,risk_parity,2021-12-01,2021-12-02,2020-01-03,2021-12-01,483,0.03272990241964187
crypto_equal_weight,crypto,equal_weight,2021-12-01,2021-12-02,2020-01-02,2021-12-01,700,0.03455037936106921
crypto_max_sharpe,crypto,max_sharpe,2021-12-01,2021-12-02,2020-01-02,2021-12-01,700,0.00405350379173344
crypto_min_variance,crypto,min_variance,2021-12-01,2021-12-02,2020-01-02,2021-12-01,700,0.0017560839310243332
crypto_risk_parity,crypto,risk_parity,2021-12-01,2021-12-02,2020-01-02,2021-12-01,700,0.03469033046393158
equity_equal_weight,equity,equal_weight,2021-12-01,2021-12-02,2020-01-03,2021-12-01,483,0.0336821561020129
equity_max_sharpe,equity,max_sharpe,2021-12-01,2021-12-02,2020-01-03,2021-12-01,483,0.080425506879112
equity_min_variance,equity,min_variance,2021-12-01,2021-12-02,2020-01-03,2021-12-01,483,0.022541060056139987
equity_risk_parity,equity,risk_parity,2021-12-01,2021-12-02,2020-01-03,2021-12-01,483,0.03145643526430261
crypto_equal_weight,crypto,equal_weight,2022-01-01,2022-01-02,2020-01-02,2022-01-01,731,0.027401357505451945
crypto_max_sharpe,crypto,max_sharpe,2022-01-01,2022-01-02,2020-01-02,2022-01-01,731,0.004661213593434548
crypto_min_variance,crypto,min_variance,2022-01-01,2022-01-02,2020-01-02,2022-01-01,731,0.004817351840118121
crypto_risk_parity,crypto,risk_parity,2022-01-01,2022-01-02,2020-01-02,2022-01-01,731,0.027466083830980856
combined_equal_weight,combined,equal_weight,2022-01-03,2022-01-04,2020-01-03,2022-01-03,505,0.03993271048808335
combined_max_sharpe,combined,max_sharpe,2022-01-03,2022-01-04,2020-01-03,2022-01-03,505,0.2036926686480064
combined_min_variance,combined,min_variance,2022-01-03,2022-01-04,2020-01-03,2022-01-03,505,0.042263416786586336
combined_risk_parity,combined,risk_parity,2022-01-03,2022-01-04,2020-01-03,2022-01-03,505,0.028512562591622555
equity_equal_weight,equity,equal_weight,2022-01-03,2022-01-04,2020-01-03,2022-01-03,505,0.017556288096589337
equity_max_sharpe,equity,max_sharpe,2022-01-03,2022-01-04,2020-01-03,2022-01-03,505,0.2112371698126251
equity_min_variance,equity,min_variance,2022-01-03,2022-01-04,2020-01-03,2022-01-03,505,0.042263417531757975
equity_risk_parity,equity,risk_parity,2022-01-03,2022-01-04,2020-01-03,2022-01-03,505,0.01851058839413818
combined_equal_weight,combined,equal_weight,2022-02-01,2022-02-02,2020-01-03,2022-02-01,525,0.05049974320537816
combined_max_sharpe,combined,max_sharpe,2022-02-01,2022-02-02,2020-01-03,2022-02-01,525,0.22156076882636364
combined_min_variance,combined,min_variance,2022-02-01,2022-02-02,2020-01-03,2022-02-01,525,0.01726073330702011
combined_risk_parity,combined,risk_parity,2022-02-01,2022-02-02,2020-01-03,2022-02-01,525,0.03770155320814725
crypto_equal_weight,crypto,equal_weight,2022-02-01,2022-02-02,2020-01-02,2022-02-01,762,0.020430154833830413
crypto_max_sharpe,crypto,max_sharpe,2022-02-01,2022-02-02,2020-01-02,2022-02-01,762,0.017882859005856514
crypto_min_variance,crypto,min_variance,2022-02-01,2022-02-02,2020-01-02,2022-02-01,762,0.0014690391582150544
crypto_risk_parity,crypto,risk_parity,2022-02-01,2022-02-02,2020-01-02,2022-02-01,762,0.021436564526141705
equity_equal_weight,equity,equal_weight,2022-02-01,2022-02-02,2020-01-03,2022-02-01,525,0.03881710917307952
equity_max_sharpe,equity,max_sharpe,2022-02-01,2022-02-02,2020-01-03,2022-02-01,525,0.1939587788832099
equity_min_variance,equity,min_variance,2022-02-01,2022-02-02,2020-01-03,2022-02-01,525,0.017260733048923654
equity_risk_parity,equity,risk_parity,2022-02-01,2022-02-02,2020-01-03,2022-02-01,525,0.03194705795841334
combined_equal_weight,combined,equal_weight,2022-03-01,2022-03-02,2020-01-03,2022-03-01,544,0.0442025728310682
combined_max_sharpe,combined,max_sharpe,2022-03-01,2022-03-02,2020-01-03,2022-03-01,544,0.20453683160078512
combined_min_variance,combined,min_variance,2022-03-01,2022-03-02,2020-01-03,2022-03-01,544,0.040355084822774355
combined_risk_parity,combined,risk_parity,2022-03-01,2022-03-02,2020-01-03,2022-03-01,544,0.03629826434195396
crypto_equal_weight,crypto,equal_weight,2022-03-01,2022-03-02,2020-01-02,2022-03-01,790,0.04185447422279981
crypto_max_sharpe,crypto,max_sharpe,2022-03-01,2022-03-02,2020-01-02,2022-03-01,790,0.004421423592505529
crypto_min_variance,crypto,min_variance,2022-03-01,2022-03-02,2020-01-02,2022-03-01,790,0.01801753362361988
crypto_risk_parity,crypto,risk_parity,2022-03-01,2022-03-02,2020-01-02,2022-03-01,790,0.0423859139670312
equity_equal_weight,equity,equal_weight,2022-03-01,2022-03-02,2020-01-03,2022-03-01,544,0.030827838109857293
equity_max_sharpe,equity,max_sharpe,2022-03-01,2022-03-02,2020-01-03,2022-03-01,544,0.17105729289796207
equity_min_variance,equity,min_variance,2022-03-01,2022-03-02,2020-01-03,2022-03-01,544,0.04035508550324167
equity_risk_parity,equity,risk_parity,2022-03-01,2022-03-02,2020-01-03,2022-03-01,544,0.029215239665475158
crypto_equal_weight,crypto,equal_weight,2022-04-01,2022-04-02,2020-01-02,2022-04-01,821,0.03866125594426238
crypto_max_sharpe,crypto,max_sharpe,2022-04-01,2022-04-02,2020-01-02,2022-04-01,821,0.0048065004143083385
crypto_min_variance,crypto,min_variance,2022-04-01,2022-04-02,2020-01-02,2022-04-01,821,0.007872721686564903
crypto_risk_parity,crypto,risk_parity,2022-04-01,2022-04-02,2020-01-02,2022-04-01,821,0.03776144522933938
combined_equal_weight,combined,equal_weight,2022-04-01,2022-04-04,2020-01-03,2022-04-01,567,0.03062077046386047
combined_max_sharpe,combined,max_sharpe,2022-04-01,2022-04-04,2020-01-03,2022-04-01,567,0.1198009102993603
combined_min_variance,combined,min_variance,2022-04-01,2022-04-04,2020-01-03,2022-04-01,567,0.0371704975021738
combined_risk_parity,combined,risk_parity,2022-04-01,2022-04-04,2020-01-03,2022-04-01,567,0.027101741444987653
equity_equal_weight,equity,equal_weight,2022-04-01,2022-04-04,2020-01-03,2022-04-01,567,0.030667001718116996
equity_max_sharpe,equity,max_sharpe,2022-04-01,2022-04-04,2020-01-03,2022-04-01,567,0.08224798600253799
equity_min_variance,equity,min_variance,2022-04-01,2022-04-04,2020-01-03,2022-04-01,567,0.03717049799687132
equity_risk_parity,equity,risk_parity,2022-04-01,2022-04-04,2020-01-03,2022-04-01,567,0.02760896021041767
crypto_equal_weight,crypto,equal_weight,2022-05-01,2022-05-02,2020-01-02,2022-05-01,851,0.04377943187841857
crypto_max_sharpe,crypto,max_sharpe,2022-05-01,2022-05-02,2020-01-02,2022-05-01,851,0.001808162540333807
crypto_min_variance,crypto,min_variance,2022-05-01,2022-05-02,2020-01-02,2022-05-01,851,0.008074739689231922
crypto_risk_parity,crypto,risk_parity,2022-05-01,2022-05-02,2020-01-02,2022-05-01,851,0.043981028530707386
combined_equal_weight,combined,equal_weight,2022-05-02,2022-05-03,2020-01-03,2022-05-02,587,0.04273094373231443
combined_max_sharpe,combined,max_sharpe,2022-05-02,2022-05-03,2020-01-03,2022-05-02,587,0.11077705745340681
combined_min_variance,combined,min_variance,2022-05-02,2022-05-03,2020-01-03,2022-05-02,587,0.042168989794850925
combined_risk_parity,combined,risk_parity,2022-05-02,2022-05-03,2020-01-03,2022-05-02,587,0.03492683976962724
equity_equal_weight,equity,equal_weight,2022-05-02,2022-05-03,2020-01-03,2022-05-02,587,0.031108155590103624
equity_max_sharpe,equity,max_sharpe,2022-05-02,2022-05-03,2020-01-03,2022-05-02,587,0.05467437244449432
equity_min_variance,equity,min_variance,2022-05-02,2022-05-03,2020-01-03,2022-05-02,587,0.042168991500031866
equity_risk_parity,equity,risk_parity,2022-05-02,2022-05-03,2020-01-03,2022-05-02,587,0.029533250978130185
combined_equal_weight,combined,equal_weight,2022-06-01,2022-06-02,2020-01-03,2022-06-01,608,0.07073838197738777
combined_max_sharpe,combined,max_sharpe,2022-06-01,2022-06-02,2020-01-03,2022-06-01,608,0.19157721302607306
combined_min_variance,combined,min_variance,2022-06-01,2022-06-02,2020-01-03,2022-06-01,608,0.061362707720125476
combined_risk_parity,combined,risk_parity,2022-06-01,2022-06-02,2020-01-03,2022-06-01,608,0.04685644053093095
crypto_equal_weight,crypto,equal_weight,2022-06-01,2022-06-02,2020-01-02,2022-06-01,882,0.07558973211626631
crypto_max_sharpe,crypto,max_sharpe,2022-06-01,2022-06-02,2020-01-02,2022-06-01,882,0.043986728499980025
crypto_min_variance,crypto,min_variance,2022-06-01,2022-06-02,2020-01-02,2022-06-01,882,0.024751162404153634
crypto_risk_parity,crypto,risk_parity,2022-06-01,2022-06-02,2020-01-02,2022-06-01,882,0.07387943231943182
equity_equal_weight,equity,equal_weight,2022-06-01,2022-06-02,2020-01-03,2022-06-01,608,0.028982650492723246
