fund_id,asset_family,method,cost_bps,annualised_return,annualised_volatility,sharpe,max_drawdown,final_growth_of_1,growth_drag_vs_gross,mean_rebalance_turnover,total_rebalance_turnover,n_cost_events,sharpe_change_vs_gross
crypto_equal_weight,crypto,equal_weight,10,0.33720509153527467,0.8045696048275062,0.7680694513688303,-0.8159730614257941,2.3891769525055033,0.0,0.0,0.0,0,0.0
crypto_equal_weight,crypto,equal_weight,25,0.33720509153527467,0.8045696048275062,0.7680694513688303,-0.8159730614257941,2.3891769525055033,0.0,0.0,0.0,0,0.0
crypto_equal_weight,crypto,equal_weight,50,0.33720509153527467,0.8045696048275062,0.7680694513688303,-0.8159730614257941,2.3891769525055033,0.0,0.0,0.0,0,0.0
crypto_equal_weight,crypto,equal_weight,100,0.33720509153527467,0.8045696048275062,0.7680694513688303,-0.8159730614257941,2.3891769525055033,0.0,0.0,0.0,0,0.0
crypto_max_sharpe,crypto,max_sharpe,0,0.09884454434167833,0.7904544325447163,0.5177324889506573,-0.8515210373101663,1.3264675031076436,0.0,0.10757383762693415,3.765084316942695,35,0.0
crypto_max_sharpe,crypto,max_sharpe,10,0.09747020120466643,0.7904480459769309,0.5161474780565933,-0.8516893785772852,1.3215011517045312,-0.004966351403112412,0.10757383762693415,3.765084316942695,35,-0.0015850108940639318
crypto_max_sharpe,crypto,max_sharpe,25,0.09541122897450416,0.7904392406245079,0.5137694102817462,-0.8519415766160032,1.3140840226788595,-0.012383480428784122,0.10757383762693415,3.765084316942695,35,-0.003963078668911102
crypto_max_sharpe,crypto,max_sharpe,50,0.0919863794228124,0.7904266304431525,0.5098045141128822,-0.8523610709231926,1.3018080697428762,-0.02465943336476739,0.10757383762693415,3.765084316942695,35,-0.007927974837775076
crypto_max_sharpe,crypto,max_sharpe,100,0.0851620095965342,0.7904091557659703,0.5018694240732013,-0.8531969335855536,1.27757527426814,-0.048892228839503504,0.10757383762693415,3.765084316942695,35,-0.015863064877455924
crypto_min_variance,crypto,min_variance,0,0.2393963195346558,0.6431357686499893,0.6558650393423227,-0.7556811881987882,1.9027215458836162,0.0,0.012695372528179151,0.4443380384862703,35,0.0
crypto_min_variance,crypto,min_variance,10,0.2392137283958471,0.6431344526793936,0.6556358726942967,-0.7557004789804913,1.9018814955794856,-0.0008400503041305907,0.012695372528179151,0.4443380384862703,35,-0.0002291666480259691
crypto_min_variance,crypto,min_variance,25,0.23893987608359857,0.6431324991268055,0.6552921001747465,-0.7557294126698473,1.9006220417234068,-0.002099504160209431,0.012695372528179151,0.4443380384862703,35,-0.0005729391675761697
crypto_min_variance,crypto,min_variance,50,0.23848354727412024,0.6431292976151888,0.6547190859445788,-0.7557776288642281,1.8985246085869676,-0.004196937296648606,0.012695372528179151,0.4443380384862703,35,-0.0011459533977438152
crypto_min_variance,crypto,min_variance,100,0.2375712334926301,0.6431230986306984,0.6535728330150931,-0.7558740364278389,1.8943359480659676,-0.008385597817648582,0.012695372528179151,0.4443380384862703,35,-0.0022922063272295956
crypto_risk_parity,crypto,risk_parity,0,0.3531959713709709,0.7878512601511914,0.7823922921912327,-0.8043662357341357,2.4758378394727463,0.0,0.003070925621912973,0.10748239676695405,35,0.0
crypto_risk_parity,crypto,risk_parity,10,0.35314768890865955,0.7878510829821815,0.782346951644336,-0.804376283084185,2.4755730748878575,-0.00026476458488877697,0.003070925621912973,0.10748239676695405,35,-4.534054689675493e-05
crypto_risk_parity,crypto,risk_parity,25,0.35307526761690333,0.7878508180131516,0.7822789400068187,-0.8043913533214331,2.4751759765558923,-0.0006618629168539947,0.003070925621912973,0.10748239676695405,35,-0.00011335218441399508
crypto_risk_parity,crypto,risk_parity,50,0.3529545718683038,0.7878503784900639,0.7821655850990954,-0.8044164682827727,2.474514275437536,-0.0013235640352102784,0.003070925621912973,0.10748239676695405,35,-0.00022670709213734597
